TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
EURRUB;60;200820;0;86.8058000;86.8220000;86.4530000;86.6741000;3419
EURRUB;60;200820;10000;86.3150000;86.7950000;86.3150000;86.6674000;56
EURRUB;60;200820;20000;86.6674000;86.8422000;86.6070000;86.7137000;119
EURRUB;60;200820;30000;86.7390000;86.8050000;86.6640000;86.6640000;12
EURRUB;60;200820;40000;86.7070000;86.8340000;86.6320000;86.8030000;34
EURRUB;60;200820;50000;86.6770000;86.8430000;86.6111000;86.7000000;178
EURRUB;60;200820;60000;86.7034000;86.8630000;86.6727000;86.8285000;1463
EURRUB;60;200820;70000;86.7476000;86.9560000;86.7308000;86.7732000;3753
EURRUB;60;200820;80000;86.7725000;86.8519000;86.5855000;86.7151000;1108
EURRUB;60;200820;90000;86.7151000;86.8070000;86.5863000;86.7649000;2481
EURRUB;60;200820;100000;86.7642000;86.9363000;86.6923000;86.8529000;9142
EURRUB;60;200820;110000;86.8330000;87.7054000;86.8206000;87.4545000;27039
EURRUB;60;200820;120000;87.4545000;87.6092000;87.2249000;87.4721000;26364
EURRUB;60;200820;130000;87.4692000;87.5701000;87.3570000;87.4666000;19597
EURRUB;60;200820;140000;87.4666000;87.5498000;87.1803000;87.3306000;16860
EURRUB;60;200820;150000;87.3302000;87.5530000;87.2433000;87.5417000;15016
EURRUB;60;200820;160000;87.5417000;87.6383000;87.3350000;87.4079000;20272
EURRUB;60;200820;170000;87.4116000;87.4791000;87.1592000;87.4431000;26954
EURRUB;60;200820;180000;87.4432000;87.6719000;87.3541000;87.6453000;25680
EURRUB;60;200820;190000;87.6435000;87.8549000;87.5995000;87.6749000;17354
EURRUB;60;200820;200000;87.6751000;87.7190000;87.5183000;87.6487000;13093
EURRUB;60;200820;210000;87.6480000;87.6493000;87.4814000;87.5610000;8437
EURRUB;60;200820;220000;87.5610000;87.5770000;87.3761000;87.4632000;10333
EURRUB;60;200820;230000;87.4596000;87.4984000;87.3408000;87.4824000;9431
EURRUB;60;210820;0;87.4832000;87.5390000;87.4278000;87.5041000;4676
EURRUB;60;210820;10000;87.3760000;87.7150000;87.3760000;87.4610000;15
EURRUB;60;210820;20000;87.4660000;87.6420000;87.4250000;87.5260000;13
EURRUB;60;210820;30000;87.5240000;87.6920000;87.5240000;87.6920000;12
EURRUB;60;210820;40000;87.7100000;87.7756000;87.5800000;87.6757000;866
EURRUB;60;210820;50000;87.5890000;87.7110000;87.5559000;87.5630000;89
EURRUB;60;210820;60000;87.5622000;87.7350000;87.5326000;87.6090000;40
EURRUB;60;210820;70000;87.7660000;87.7670000;87.6110000;87.7330000;12
EURRUB;60;210820;80000;87.6360000;87.7810000;87.6322000;87.6400000;26
EURRUB;60;210820;90000;87.7860000;87.8140000;87.5680000;87.6447000;912
EURRUB;60;210820;100000;87.5270000;87.6750000;87.4895000;87.5757000;6324
EURRUB;60;210820;110000;87.5762000;87.8378000;87.3496000;87.7047000;27935
EURRUB;60;210820;120000;87.7047000;87.9166000;87.6016000;87.7016000;28064
EURRUB;60;210820;130000;87.7017000;87.8063000;87.6254000;87.7613000;18451
EURRUB;60;210820;140000;87.7613000;87.9416000;87.6806000;87.8574000;20292
EURRUB;60;210820;150000;87.8641000;87.8922000;87.6198000;87.8223000;21459
EURRUB;60;210820;160000;87.8193000;88.0600000;87.6161000;88.0469000;23338
EURRUB;60;210820;170000;88.0477000;88.2826000;87.9876000;88.1426000;27885
EURRUB;60;210820;180000;88.1340000;88.1903000;87.9042000;88.0366000;24220
EURRUB;60;210820;190000;88.0359000;88.2086000;87.8643000;87.9137000;15504
EURRUB;60;210820;200000;87.9129000;88.1222000;87.8639000;88.1074000;10410
EURRUB;60;210820;210000;88.1072000;88.2090000;87.9924000;88.1216000;9923
EURRUB;60;210820;220000;88.0730000;88.1954000;87.9893000;88.1816000;6641
EURRUB;60;210820;230000;88.1816000;88.1883000;88.0234000;88.1075000;7091
EURRUB;60;220820;0;88.1056000;88.2440000;88.0548000;88.1235000;4094
EURRUB;60;220820;10000;88.1970000;88.1970000;88.1970000;88.1970000;6
EURRUB;60;230820;230000;88.2610000;88.2610000;88.2160000;88.2350000;7
EURRUB;60;240820;0;88.2250000;88.2250000;88.1690000;88.1690000;9
EURRUB;60;240820;10000;88.1240000;88.2350000;87.9765000;88.0165000;65
EURRUB;60;240820;20000;88.0255000;88.1940000;87.7322000;88.0195000;1889
EURRUB;60;240820;30000;88.1029000;88.2020000;87.9953000;88.0754000;2155
EURRUB;60;240820;40000;88.0778000;88.3840000;88.0167000;88.0810000;228
